customerid,birthdate,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,employment_status_clients,level_of_education_clients,systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,good_bad_flag,credit score,loan_freq,loan_to_due_ratio,bank_branch_state,bank_branch_country,age,age group
8a858f6c570f2d660157238b0c4a1bdd,1990-07-03,Other,7.0408905,5.7946838,Zenith Bank,Self-Employed,Graduate,301966182,8,2017-07-06 10:37:09,2017-07-06 09:37:03,25000.0,27500.0,30,Good,728,7,0.88,Imo,Nigeria,35,Old-aged Adult
8a85893d542e18bc01542e37365c120a,1988-01-19,Savings,3.3639265,7.1380483,Zenith Bank,Permanent,Graduate,301995423,7,2017-07-25 14:53:49,2017-07-25 13:52:41,30000.0,39000.0,60,Good,739,6,0.83,Ogun State,Nigeria,37,Old-aged Adult
8a8588f35438fe12015444567666018e,1984-09-18,Other,11.1393496,10.2920413,EcoBank,Permanent,Graduate,301966580,7,2017-07-06 14:52:57,2017-07-06 13:52:51,20000.0,22250.0,15,Good,628,6,0.85,Gombe,Nigeria,40,Old-aged Adult
8a858f275c451af5015c49a2c43b5fb2,1985-10-23,Savings,3.2987679,6.6817293,Sterling Bank,Permanent,Graduate,301980592,2,2017-07-16 16:54:48,2017-07-16 15:54:40,10000.0,13000.0,30,Good,777,1,0.77,Lagos,Nigeria,39,Old-aged Adult
8a858e2155defefd0155e12953ee00a1,1989-06-09,Other,8.00851,4.54539,First Bank,Permanent,Graduate,301967209,11,2017-07-06 22:37:12,2017-07-06 21:37:07,40000.0,44000.0,30,Good,757,10,0.87,Akwa Ibom,Nigeria,36,Old-aged Adult
8a858e4b5a7f868b015a80f3822d505b,1987-08-03,Savings,3.3920645,6.5083683,GT Bank,Permanent,Graduate,301995976,6,2017-07-25 21:21:47,2017-07-25 20:21:39,20000.0,24000.0,30,Good,817,5,0.79,Lagos,Nigeria,38,Old-aged Adult
8a858f125c5f88b1015c603d2810428c,1984-04-19,Savings,7.0481835,4.8426899,GT Bank,Permanent,Graduate,301965899,2,2017-07-06 07:21:58,2017-07-06 06:21:53,10000.0,13000.0,30,Good,795,1,0.77,Rivers,Nigeria,41,Old-aged Adult
8a858ee75a6156c0015a635f394a5f79,1982-08-09,Savings,3.9395519,7.4118193,Access Bank,Permanent,Graduate,302001727,7,2017-07-29 07:47:49,2017-07-29 06:47:42,30000.0,34500.0,30,Good,728,6,0.8,Oyo,Nigeria,43,Old-aged Adult
8a858f445d41ebbe015d50c105334acc,1986-12-19,Savings,3.2148502,6.538267,GT Bank,Permanent,Graduate,301995706,2,2017-07-25 17:45:13,2017-07-25 16:45:07,10000.0,11500.0,15,Good,447,1,0.77,Lagos,Nigeria,38,Old-aged Adult
8a858f285d3ca5c4015d3cbb1f94073a,1977-07-29,Current,7.0358424,4.8050149,GT Bank,Permanent,Graduate,302000799,2,2017-07-28 15:19:09,2017-07-28 14:19:02,10000.0,11500.0,15,Good,630,1,0.87,Rivers,Nigeria,48,Old-aged Adult
8a858f225bfdb280015c108bf6f53281,1987-10-07,Savings,3.3343336,6.5223702,Union Bank,Permanent,Graduate,302002180,2,2017-07-29 13:21:25,2017-07-29 12:20:57,10000.0,13000.0,30,Good,814,1,0.77,Lagos,Nigeria,37,Old-aged Adult
8a858f7e564ad338015654d3a5c242a5,1988-05-19,Other,8.6713276,9.0830135,GT Bank,Permanent,Graduate,301969110,8,2017-07-08 11:23:48,2017-07-08 10:23:43,30000.0,34500.0,30,Good,709,7,0.79,Nasarawa,Nigeria,37,Old-aged Adult
8a858ea4582fcdc80158338316a258e3,1979-10-10,Other,5.1889972,7.2826919,FCMB,Permanent,Graduate,301992692,10,2017-07-24 04:30:55,2017-07-24 03:30:47,30000.0,34500.0,30,Good,806,9,0.84,Ondo,Nigeria,45,Old-aged Adult
8a858f3c5c16cadb015c177e274650b9,1976-06-27,Savings,5.7936891,5.5584987,Zenith Bank,Permanent,Graduate,301984048,2,2017-07-18 15:01:08,2017-07-18 14:01:00,10000.0,13000.0,30,Good,740,1,0.77,Delta,Nigeria,49,Old-aged Adult
8a858ec555f82a230155f92ff37d0b31,1983-01-19,Other,7.4104488,9.1078476,Zenith Bank,Self-Employed,Post-Graduate,301977829,12,2017-07-14 15:05:09,2017-07-14 14:05:01,50000.0,52500.0,30,Good,800,11,0.85,Federal Capital Territory,Nigeria,42,Old-aged Adult
8a858f255cb1710a015cb56393f60d1b,1973-01-20,Savings,3.319583,6.5694544,Skye Bank,Permanent,Graduate,301992796,2,2017-07-24 07:46:33,2017-07-24 06:46:25,10000.0,13000.0,30,Good,814,1,0.77,Lagos,Nigeria,52,Old-aged Adult
8a858f6f5b3f095b015b4083532532a0,1991-11-25,Savings,3.516056,6.6697184,Access Bank,Permanent,Graduate,301990087,2,2017-07-21 22:03:47,2017-07-21 21:03:41,10000.0,13000.0,30,Good,704,1,0.77,Lagos,Nigeria,33,Old-aged Adult
8a858fa257d8223c0157e7e6ce253dd8,1988-10-03,Other,7.5113568,9.1255927,Access Bank,Permanent,Graduate,301993842,3,2017-07-24 17:05:34,2017-07-24 16:05:28,10000.0,13000.0,30,Good,686,2,0.77,Federal Capital Territory,Nigeria,36,Old-aged Adult
8a858f335cd0c78e015cd435d7192800,1981-07-22,Savings,2.957738,6.5342122,GT Bank,Permanent,Graduate,301984674,2,2017-07-18 21:32:19,2017-07-18 20:32:13,10000.0,11500.0,15,Good,814,1,0.87,Ogun State,Nigeria,44,Old-aged Adult
8a858953548fb0c001549b31ac5f6dda,1985-02-25,Other,3.3767344,6.5477946,Stanbic IBTC,Unemployed,Graduate,301989107,13,2017-07-21 11:24:21,2017-07-21 10:24:14,10000.0,11000.0,30,Good,721,12,0.85,Lagos,Nigeria,40,Old-aged Adult
8a858eba5b681df4015b7b63e6ed6a23,1988-06-26,Savings,3.4229723,6.4652291,First Bank,Permanent,Graduate,301991166,4,2017-07-22 19:14:11,2017-07-22 18:13:28,10000.0,11500.0,15,Good,692,3,0.8,Lagos,Nigeria,37,Old-aged Adult
8a858ee55cb156e6015cb650b14467f0,1995-03-03,Savings,5.6085082,6.4026569,First Bank,Student,Graduate,301982196,2,2017-07-17 15:57:51,2017-07-17 14:57:43,10000.0,11500.0,15,Good,429,1,0.77,Edo,Nigeria,30,Middle-aged Adult
8a858f9157f7b9670157fa9d4e7546e0,1974-07-22,Other,7.3977534,5.1088625,First Bank,Permanent,Graduate,301997594,2,2017-07-26 19:15:46,2017-07-26 18:14:34,10000.0,13000.0,30,Good,850,1,0.77,Abia,Nigeria,51,Old-aged Adult
8a85883353d0c4e90153dfca251168bc,1989-02-28,Other,7.3592521,9.0401384,GT Bank,Self-Employed,Graduate,301992301,9,2017-07-23 19:04:53,2017-07-23 18:04:40,30000.0,34500.0,30,Bad,773,8,0.83,Federal Capital Territory,Nigeria,36,Old-aged Adult
8a858fa55acd8061015ad15eb8b47940,1989-10-14,Savings,8.3475513,4.9696443,Zenith Bank,Permanent,Graduate,301959612,4,2017-07-02 05:04:06,2017-07-02 04:02:57,20000.0,24500.0,30,Good,826,3,0.77,Cross River,Nigeria,35,Old-aged Adult
8a8589a053acc39e0153b217f3d031cb,1988-01-31,Other,7.3814717,9.170555,Standard Chartered,Permanent,Graduate,301968590,9,2017-07-07 21:19:01,2017-07-07 20:18:56,30000.0,33000.0,30,Good,750,8,0.85,Federal Capital Territory,Nigeria,37,Old-aged Adult
8a858e2e5bb57a37015bbe3c1af53cac,1989-12-15,Savings,3.57922,7.9863467,GT Bank,Permanent,Graduate,301960237,3,2017-07-02 19:15:39,2017-07-02 18:15:34,20000.0,24500.0,30,Good,814,2,0.77,Oyo,Nigeria,35,Old-aged Adult
8a8588c9548a33b201548b3cdb0f0c53,1989-07-09,Savings,-117.8225091,33.883619,GT Bank,Permanent,Graduate,301999434,2,2017-07-27 20:12:02,2017-07-27 19:10:50,10000.0,13000.0,30,Bad,612,1,0.77,California,United States,36,Old-aged Adult
8a858e345bd96da8015bdcde39b37570,1983-08-19,Savings,5.6301086,6.3376363,GT Bank,Permanent,Graduate,301964230,3,2017-07-05 06:54:33,2017-07-05 05:54:28,10000.0,13000.0,30,Good,850,2,0.77,Edo,Nigeria,42,Old-aged Adult
8a858e0f5c45466f015c4a6560255de7,1983-05-27,Savings,3.3281894,6.4662308,Stanbic IBTC,Permanent,Graduate,301992201,3,2017-07-23 17:43:34,2017-07-23 16:43:27,10000.0,13000.0,30,Good,786,2,0.77,Lagos,Nigeria,42,Old-aged Adult
8a858fe758dc437a0158e524adb32ae2,1990-03-28,Savings,7.4659083,9.0777383,EcoBank,Permanent,Graduate,301987024,11,2017-07-20 11:02:19,2017-07-20 07:46:12,40000.0,44000.0,30,Good,782,10,0.88,Federal Capital Territory,Nigeria,35,Old-aged Adult
8a858e185b4923b4015b4ae48d28646a,1987-06-09,Savings,3.3965242,6.6279429,GT Bank,Permanent,Graduate,301996687,4,2017-07-26 10:53:05,2017-07-26 09:52:57,10000.0,11500.0,15,Good,680,3,0.87,Lagos,Nigeria,38,Old-aged Adult
8a858f725be8d4ff015bec5207ce5524,1985-09-29,Savings,3.334732,7.1176565,First Bank,Permanent,Graduate,302002456,3,2017-07-29 16:55:26,2017-07-29 15:55:18,10000.0,13000.0,30,Bad,850,2,0.77,Ogun State,Nigeria,39,Old-aged Adult
8a858e2c5cc64f70015cc942825e71ae,1985-12-14,Savings,3.3831598,6.6290094,GT Bank,Permanent,Graduate,301983228,2,2017-07-18 08:31:33,2017-07-18 07:31:26,10000.0,13000.0,30,Good,777,1,0.77,Lagos,Nigeria,39,Old-aged Adult
8a858fba5cd5feee015cdb7d7d574f0f,1973-11-23,Savings,6.555882,9.6033069,GT Bank,Permanent,Graduate,301994253,2,2017-07-24 21:03:20,2017-07-24 20:03:14,10000.0,13000.0,30,Good,722,1,0.77,Niger,Nigeria,51,Old-aged Adult
8a858fd85b685607015b75c2390b7173,1987-12-23,Savings,3.2949932,6.5583985,First Bank,Permanent,Graduate,301997897,5,2017-07-26 22:24:15,2017-07-26 21:23:05,20000.0,24500.0,30,Good,722,4,0.8,Lagos,Nigeria,37,Old-aged Adult
8a858fe8555f401f0155679de3f04eb4,1987-06-26,Other,3.8968769,7.4179263,GT Bank,Permanent,Graduate,301972411,4,2017-07-11 05:53:18,2017-07-11 04:52:12,10000.0,13000.0,30,Good,777,3,0.77,Oyo,Nigeria,38,Old-aged Adult
8a8589b953bc23f70153c887b4b45c9a,1993-02-12,Other,3.3144404,6.6769796,GT Bank,Permanent,Graduate,302000392,13,2017-07-28 11:57:04,2017-07-28 10:56:57,40000.0,48000.0,60,Good,781,12,0.86,Ogun State,Nigeria,32,Old-aged Adult
8a858e935b496584015b496cdac50369,1990-07-04,Savings,3.3882952,6.596244,GT Bank,Permanent,Graduate,301981004,5,2017-07-16 23:20:04,2017-07-16 22:18:52,10000.0,11500.0,15,Bad,557,4,0.87,Lagos,Nigeria,35,Old-aged Adult
8a858e1d5b2510b2015b2c76fe45726a,1966-04-21,Savings,11.3448923,8.9465271,First Bank,Permanent,Graduate,301978662,2,2017-07-15 06:33:49,2017-07-15 05:33:41,10000.0,13000.0,30,Good,795,1,0.77,Taraba,Nigeria,59,Old-aged Adult
8a76e7d443e6e97c0143ed0a1f4d5331,1978-04-16,Other,3.4062008,6.4437583,Access Bank,Permanent,Post-Graduate,301975908,6,2017-07-13 11:45:07,2017-07-13 10:45:00,10000.0,11500.0,30,Good,759,4,0.78,Lagos,Nigeria,47,Old-aged Adult
8a8588bd5369b66d01536e7b60501609,1979-06-04,Other,3.474824,6.4343964,Zenith Bank,Permanent,Graduate,301967127,3,2017-07-06 21:02:56,2017-07-06 20:02:51,10000.0,13000.0,30,Good,768,2,0.77,Lagos,Nigeria,46,Old-aged Adult
8a858f985b3db23f015b3ddf9cd73ed5,1983-04-10,Savings,3.2924948,6.5461386,GT Bank,Permanent,Graduate,301959500,4,2017-07-01 22:40:21,2017-07-01 21:40:14,20000.0,24500.0,30,Good,741,3,0.77,Lagos,Nigeria,42,Old-aged Adult
8a858eae5c356262015c35894b181c1b,1985-01-18,Savings,7.438285,10.5440267,Fidelity Bank,Permanent,Graduate,301977486,2,2017-07-14 12:16:44,2017-07-14 11:16:30,10000.0,13000.0,30,Good,465,1,0.77,Kaduna,Nigeria,40,Old-aged Adult
8a858e6d5b252065015b2fa1ee3843da,1985-11-23,Savings,3.3808276,6.6017004,GT Bank,Permanent,Graduate,301970058,4,2017-07-09 10:26:22,2017-07-09 09:26:17,20000.0,24500.0,30,Bad,606,3,0.87,Lagos,Nigeria,39,Old-aged Adult
8a858f6e5a951fc2015a9e8c2e4f4436,1975-06-25,Savings,3.2932916,6.6048079,Access Bank,Permanent,Graduate,301962498,5,2017-07-04 06:21:27,2017-07-04 05:20:22,20000.0,24500.0,30,Good,819,4,0.78,Lagos,Nigeria,50,Old-aged Adult
8a858e2d5bc95851015bc98eb8fc1575,1986-07-28,Savings,3.3771577,6.6248323,GT Bank,Permanent,Graduate,301962824,4,2017-07-04 10:13:35,2017-07-04 09:13:29,10000.0,13000.0,30,Bad,606,3,0.87,Lagos,Nigeria,39,Old-aged Adult
8a858f6057e2dba50157f3558ac902d4,1986-03-30,Other,7.2421228,5.4917091,GT Bank,Student,Graduate,301988324,5,2017-07-20 21:02:25,2017-07-20 20:02:17,10000.0,13000.0,30,Good,796,4,0.77,Imo,Nigeria,39,Old-aged Adult
8a858e885c63d379015c730aa5f46f8b,1984-12-03,Savings,3.1545941,6.4674226,First Bank,Permanent,Graduate,301959281,2,2017-07-01 18:31:18,2017-07-01 17:31:11,10000.0,11500.0,15,Good,759,1,0.77,Lagos,Nigeria,40,Old-aged Adult
8a858fd35b5dfefb015b5e18a7ee15aa,1987-07-01,Savings,3.5833256,6.4672584,First Bank,Permanent,Graduate,301988605,6,2017-07-21 02:37:12,2017-07-21 01:36:50,20000.0,24500.0,30,Good,638,5,0.83,Lagos,Nigeria,38,Old-aged Adult
8a858eea5c82f136015c82f59f3201c7,1990-05-30,Savings,3.374589,7.1541192,Diamond Bank,Permanent,Graduate,301966918,2,2017-07-06 18:16:52,2017-07-06 17:16:36,10000.0,11500.0,15,Bad,374,1,0.87,Ìpínlẹ̀ Ògùn,Nigeria,35,Old-aged Adult
8a858f7e5c69a6e3015c74334d791005,1987-09-13,Savings,3.3211912,6.5187057,GT Bank,Permanent,Graduate,301986459,2,2017-07-19 21:10:13,2017-07-19 20:10:06,10000.0,11500.0,15,Good,795,1,0.77,Lagos,Nigeria,37,Old-aged Adult
8a858e6a5bfd4b54015c067c589f44c6,1973-02-26,Savings,3.3981118,7.1416558,GT Bank,Permanent,Graduate,301995422,4,2017-07-25 14:51:36,2017-07-25 13:51:29,20000.0,24500.0,30,Good,820,3,0.8,Ogun State,Nigeria,52,Old-aged Adult
8a858fa257d8223c0157e3c2a5e45d82,1991-11-08,Other,7.485359,9.0675955,GT Bank,Permanent,Graduate,301973424,6,2017-07-11 17:07:53,2017-07-11 16:07:48,20000.0,22250.0,15,Good,770,5,0.85,Federal Capital Territory,Nigeria,33,Old-aged Adult
8a8588dc536a1413015375acd19d4154,1990-03-19,Savings,3.5115594,6.437171,GT Bank,Permanent,Graduate,301966948,3,2017-07-06 18:32:18,2017-07-06 17:32:12,10000.0,13000.0,30,Bad,795,2,0.77,Lagos,Nigeria,35,Old-aged Adult
8a858e225c404292015c4f19fdfb148a,1983-01-09,Savings,3.3522491,6.6335178,GT Bank,Permanent,Graduate,301965605,3,2017-07-05 21:33:23,2017-07-05 20:33:18,10000.0,13000.0,30,Good,685,2,0.82,Lagos,Nigeria,42,Old-aged Adult
8a858e865bd4175e015bd85ed8ed6940,1992-01-23,Savings,3.3617217,6.5756123,GT Bank,Permanent,Graduate,301963117,3,2017-07-04 12:49:34,2017-07-04 11:49:27,10000.0,13000.0,30,Good,759,2,0.77,Lagos,Nigeria,33,Old-aged Adult
8a858f73594ab1ea01595e72de584bca,1986-05-08,Savings,-7.2394455,54.998841,GT Bank,Permanent,Graduate,301988141,7,2017-07-20 18:53:35,2017-07-20 17:53:23,15000.0,18375.0,30,Good,768,6,0.79,Northern Ireland,United Kingdom,39,Old-aged Adult
8a858ff5562dc3b601562e96135108e3,1995-06-29,Other,7.3862093,9.1091071,UBA,Self-Employed,Graduate,301974034,10,2017-07-12 06:39:01,2017-07-12 05:38:55,15000.0,16125.0,15,Good,722,9,0.82,Federal Capital Territory,Nigeria,30,Middle-aged Adult
8a858fdc57b91cfc0157d2d576b01016,1992-09-04,Savings,3.3027339,6.6511226,GT Bank,Student,Graduate,301983810,3,2017-07-18 13:07:20,2017-07-18 12:07:12,30000.0,39000.0,60,Bad,850,1,0.77,Lagos,Nigeria,32,Old-aged Adult
8a858ef45cd09b8c015cd4d82f22728d,1995-02-12,Savings,3.376556,6.5322733,Access Bank,Permanent,Graduate,301998168,2,2017-07-27 06:39:58,2017-07-27 05:39:50,10000.0,13000.0,30,Good,832,1,0.77,Lagos,Nigeria,30,Middle-aged Adult
8a858f725b49c0c0015b4de5320b0e90,1985-09-07,Savings,7.9020775,8.8469304,GT Bank,Unemployed,Graduate,301995663,2,2017-07-25 17:22:09,2017-07-25 16:20:58,10000.0,13000.0,30,Bad,795,1,0.77,Nasarawa,Nigeria,39,Old-aged Adult
8a858e205af28299015af2acd2ff06a6,1987-02-20,Current,3.385279,6.4538194,GT Bank,Permanent,Graduate,301989020,3,2017-07-21 10:38:57,2017-07-21 09:38:41,10000.0,11500.0,15,Good,686,2,0.87,Lagos,Nigeria,38,Old-aged Adult
8a858ed457a040d30157b40881a25091,1992-02-24,Other,3.3394918,7.134875,GT Bank,Permanent,Post-Graduate,301962790,8,2017-07-04 09:55:59,2017-07-04 08:55:52,30000.0,34500.0,30,Good,741,7,0.8,Ogun State,Nigeria,33,Old-aged Adult
8a858f2a5b3f2121015b42331f955db2,1991-08-14,Savings,7.3528051,9.1540788,GT Bank,Permanent,Graduate,301972975,2,2017-07-11 12:55:21,2017-07-11 11:55:16,10000.0,11500.0,15,Good,814,1,0.87,Federal Capital Territory,Nigeria,34,Old-aged Adult
8a858e285ba4bf33015ba50277171d93,1986-02-19,Current,7.0389223,4.8052131,Stanbic IBTC,Permanent,Graduate,301977500,5,2017-07-14 12:22:54,2017-07-14 11:22:48,20000.0,24500.0,30,Good,654,4,0.83,Rivers,Nigeria,39,Old-aged Adult
8a858e225c404292015c4bc05b45616d,1979-06-15,Savings,7.3951637,9.0683584,First Bank,Permanent,Graduate,301995444,3,2017-07-25 15:06:03,2017-07-25 14:05:55,10000.0,13000.0,30,Good,805,2,0.82,Federal Capital Territory,Nigeria,46,Old-aged Adult
8a858ee755a0c84a0155b50a08352311,1978-05-09,Other,7.4110533,9.2174082,GT Bank,Permanent,Graduate,301964845,10,2017-07-05 13:22:39,2017-07-05 12:22:26,20000.0,23000.0,30,Good,770,9,0.83,Federal Capital Territory,Nigeria,47,Old-aged Adult
8a8588f754a058cb0154b922d7fe1ffd,1983-04-20,Other,3.3350952,7.1172055,UBA,Permanent,Graduate,301977664,11,2017-07-14 13:44:33,2017-07-14 12:44:25,40000.0,48000.0,60,Bad,825,10,0.84,Ogun State,Nigeria,42,Old-aged Adult
8a858f305c8dd672015c92b0711a3333,1989-11-19,Savings,3.3816772,6.4559227,Zenith Bank,Permanent,Graduate,301978946,2,2017-07-15 10:42:38,2017-07-15 09:42:24,10000.0,11500.0,15,Good,594,1,0.87,Ìpínlẹ̀ Èkó,Nigeria,35,Old-aged Adult
8a858f7e5c886ca9015c89471cef5b44,1989-10-18,Savings,4.6183277,8.4771985,UBA,Permanent,Graduate,301970934,2,2017-07-10 08:10:13,2017-07-10 07:10:08,10000.0,13000.0,30,Good,850,1,0.77,Kwara,Nigeria,35,Old-aged Adult
8a858f5d5963fbb701597473936c208a,1985-04-10,Savings,4.8394273,7.0673175,GT Bank,Permanent,Graduate,301972160,6,2017-07-10 21:13:58,2017-07-10 20:12:52,20000.0,24500.0,30,Good,821,5,0.79,Ondo,Nigeria,40,Old-aged Adult
8a858fd85b685607015b70cf46b509b2,1976-12-10,Savings,3.5952734,6.5007525,First Bank,Permanent,Graduate,302000027,5,2017-07-28 08:28:08,2017-07-28 07:26:57,20000.0,24500.0,30,Good,732,4,0.78,Lagos,Nigeria,48,Old-aged Adult
8a858fa154e2912f01551033886c784b,1989-05-16,Savings,3.3421974,6.5954012,GT Bank,Permanent,Graduate,301986934,5,2017-07-20 08:01:05,2017-07-20 07:00:58,10000.0,11500.0,15,Good,654,4,0.82,Lagos,Nigeria,36,Old-aged Adult
8a858e5357d823010157ddcb238e0d02,1990-10-16,Other,7.4501588,9.03617029,Sterling Bank,Permanent,Graduate,301972423,4,2017-07-11 06:16:21,2017-07-11 05:16:15,10000.0,13000.0,30,Bad,496,3,0.77,Federal Capital Territory,Nigeria,34,Old-aged Adult
8a8588fd53f1099e01540ec7527b308c,1980-11-28,Savings,7.0671256,5.4567781,Diamond Bank,Permanent,Graduate,301996180,15,2017-07-26 01:45:33,2017-07-26 00:44:19,40000.0,44000.0,30,Bad,789,14,0.84,Imo,Nigeria,44,Old-aged Adult
8a858eba5c884d2a015c8bea59385157,1983-03-12,Savings,3.4938708,6.6240294,Heritage Bank,Permanent,Graduate,301965167,3,2017-07-05 16:38:39,2017-07-05 15:38:34,20000.0,24500.0,30,Good,612,2,0.82,Lagos,Nigeria,42,Old-aged Adult
8a858f11594a388001595ad3f6c06395,1993-05-20,Savings,7.1732091,4.4177358,EcoBank,Permanent,Graduate,301961303,7,2017-07-03 16:01:47,2017-07-03 15:01:43,10000.0,11500.0,30,Good,835,6,0.78,Rivers,Nigeria,32,Old-aged Adult
8a8588dd54a3ead30154ada314c44e09,1980-06-15,Other,7.4252793,10.4635392,GT Bank,Permanent,Post-Graduate,301994878,7,2017-07-25 09:33:43,2017-07-25 08:33:35,30000.0,39000.0,60,Good,750,6,0.86,Kaduna,Nigeria,45,Old-aged Adult
8a85886f54517ee0015470749d3c3ce7,1985-03-15,Other,5.629202,6.2703713,GT Bank,Self-Employed,Graduate,301979680,22,2017-07-15 20:48:14,2017-07-15 19:48:08,50000.0,52500.0,30,Good,625,21,0.89,Edo,Nigeria,40,Old-aged Adult
8a858e5856b7840c0156c2db475368e4,1994-10-06,Other,4.1873985,7.3841842,Diamond Bank,Student,Graduate,301995624,5,2017-07-25 17:01:26,2017-07-25 16:01:19,10000.0,12250.0,30,Good,539,4,0.78,Osun,Nigeria,30,Middle-aged Adult
8a858eda552adcc2015553a6385628e7,1987-07-18,Savings,3.3844048,6.5358295,Fidelity Bank,Permanent,Graduate,301964307,5,2017-07-05 08:01:14,2017-07-05 07:01:07,10000.0,13000.0,30,Good,699,4,0.77,Lagos,Nigeria,38,Old-aged Adult
8a858e885c63d379015c682355b72343,1981-04-02,Savings,3.774967,6.4633888,GT Bank,Permanent,Graduate,301959492,2,2017-07-01 22:31:57,2017-07-01 21:31:51,10000.0,13000.0,30,Good,630,1,0.77,Lagos,Nigeria,44,Old-aged Adult
8a858f955cc6631f015ccabe708129ed,1992-05-05,Savings,6.8035583,6.1450524,Access Bank,Permanent,Graduate,301967059,2,2017-07-06 20:12:28,2017-07-06 19:12:23,10000.0,13000.0,30,Bad,520,1,0.77,Anambra,Nigeria,33,Old-aged Adult
8a858eda5c8863ff015c911534db43b8,1985-08-21,Savings,3.3527862,6.5081435,Access Bank,Permanent,Graduate,301981584,2,2017-07-17 10:59:02,2017-07-17 09:58:55,10000.0,11500.0,15,Good,447,1,0.87,Lagos,Nigeria,40,Old-aged Adult
